	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
11010	Hopkins Inn	Baltimore 	MD	NA	5.0	Excellent	NA	NA	NA
11011	Heaven on Baltimore Downtown Fully Furnished Apartments	NA	MD	NA	NA	NA	NA	NA	NA
11012	Executive Inn	Baltimore 	MD	NA	NA	NA	45	42	7
11013	Chase Apartments at Water Street	Baltimore 	MD	NA	1.0	Terrible	NA	NA	NA
11014	Center of Baltimore Luxury Townhouse	Baltimore 	MD	NA	NA	NA	NA	NA	NA
11015	Courtyard Baltimore Downtown/Mchenry Row	Baltimore 	MD	NA	NA	NA	NA	NA	NA
11016	Chase at Appraisers	Baltimore 	MD	NA	NA	NA	NA	NA	NA
11017	Bridgestreet at Mchenry Row	Baltimore 	MD	NA	NA	NA	74	24	4
11018	Bridgestreet at Union Wharf	Baltimore 	MD	NA	NA	NA	96	99	44
11019	Luxury Townhouse Bed N Breakfast Close To Downtown	Baltimore 	MD	NA	NA	NA	NA	NA	NA
11020	Biltmore Suites Hotel	Baltimore 	MD	NA	2.5	Average	99	69	27
11021	Holiday Inn Express Hotel & Suites  I-10 East	El Paso 	TX	$112	4.0	Very good	36	44	0
11022	Radisson Hotel El Paso Airport	El Paso 	TX	$106	4.0	Very good	42	43	1
11023	Microtel Inn & Suites by Wyndham El Paso Airport	El Paso 	TX	$86	4.0	Very good	37	36	1
11024	Hotel Indigo El Paso Downtown	El Paso 	TX	$101	4.5	Excellent	97	57	13
11025	Comfort Inn & Suites I-10 Airport	El Paso 	TX	$84	4.5	Excellent	55	46	1
11026	Home2 Suites by Hilton El Paso Airport	El Paso 	TX	$119	4.5	Excellent	42	44	2
11027	Holiday Inn El Paso West-Sunland Park	El Paso 	TX	$93	4.0	Very good	59	38	2
11028	Comfort Suites	El Paso 	TX	$80	4.5	Excellent	NA	NA	NA
11029	Hampton Inn & Suites El Paso-Airport	El Paso 	TX	$111	4.5	Excellent	54	46	1
11030	Hampton Inn & Suites El Paso West	El Paso 	TX	$100	4.5	Excellent	NA	NA	NA
11031	Hilton Garden Inn El Paso/University	El Paso 	TX	$114	4.5	Excellent	77	72	10
11032	Hyatt Place El Paso Airport	El Paso 	TX	$94	4.0	Very good	43	36	1
11033	Chase Suite Hotel El Paso	El Paso 	TX	$105	4.0	Very good	43	53	1
11034	Embassy Suites by Hilton El Paso	El Paso 	TX	$156	4.0	Very good	41	37	1
